Symbol: PHIOW	Start Date: 20190103	End Date: 20190111	Number: 7	Valid number: 0
Symbol: EYESW	Start Date: 20190107	End Date: 20190116	Number: 7	Valid number: 0
Symbol: LFACW	Start Date: 20190103	End Date: 20190116	Number: 7	Valid number: 0
Symbol: CNACW	Start Date: 20190103	End Date: 20190111	Number: 7	Valid number: 0
Symbol: MTFBW	Start Date: 20190103	End Date: 20190115	Number: 7	Valid number: 0
Symbol: BCACR	Start Date: 20190103	End Date: 20190116	Number: 7	Valid number: 1
Symbol: MMDMR	Start Date: 20190103	End Date: 20190116	Number: 7	Valid number: 0
Symbol: TIGO	Start Date: 20190109	End Date: 20190116	Number: 7	Valid number: 4
Symbol: TWLVW	Start Date: 20190107	End Date: 20190115	Number: 7	Valid number: 0
Symbol: PRTHU	Start Date: 20180913	End Date: 20181029	Number: 7	Valid number: 0
Symbol: SAMA	Start Date: 20190109	End Date: 20190116	Number: 7	Valid number: 0
Symbol: ABEOW	Start Date: 20190104	End Date: 20190116	Number: 7	Valid number: 1
Symbol: HYACU	Start Date: 20190103	End Date: 20190116	Number: 7	Valid number: 0
Symbol: ROSEW	Start Date: 20190103	End Date: 20190114	Number: 7	Valid number: 0
Symbol: PACQW	Start Date: 20190103	End Date: 20190115	Number: 7	Valid number: 0
Symbol: BCOW	Start Date: 20190109	End Date: 20190116	Number: 7	Valid number: 3
Symbol: MYNDW	Start Date: 20190103	End Date: 20190111	Number: 7	Valid number: 0
Symbol: LDSF	Start Date: 20190107	End Date: 20190116	Number: 7	Valid number: 0
Symbol: CTXRW	Start Date: 20190108	End Date: 20190116	Number: 7	Valid number: 0
Symbol: GLACW	Start Date: 20190104	End Date: 20190115	Number: 7	Valid number: 0
Symbol: GTYHW	Start Date: 20190103	End Date: 20190116	Number: 7	Valid number: 0
Symbol: IEAWW	Start Date: 20190104	End Date: 20190115	Number: 7	Valid number: 0
Symbol: JSYNW	Start Date: 20190103	End Date: 20190115	Number: 8	Valid number: 0
Symbol: CHFS	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 7
Symbol: ATISW	Start Date: 20190108	End Date: 20190116	Number: 8	Valid number: 0
Symbol: NM	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 7
Symbol: OZM	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 7
Symbol: MMDMW	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 0
Symbol: OPI	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 7
Symbol: SOLOW	Start Date: 20190103	End Date: 20190115	Number: 8	Valid number: 0
Symbol: LKCO	Start Date: 20190108	End Date: 20190116	Number: 8	Valid number: 2
Symbol: GPAQW	Start Date: 20190104	End Date: 20190116	Number: 8	Valid number: 0
Symbol: WRLSW	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 3
Symbol: SNOAW	Start Date: 20190104	End Date: 20190115	Number: 8	Valid number: 0
Symbol: CRUSC	Start Date: 20180620	End Date: 20190116	Number: 8	Valid number: 0
Symbol: TMCXU	Start Date: 20190104	End Date: 20190116	Number: 8	Valid number: 0
Symbol: BNGOW	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 0
Symbol: CPRI	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 7
Symbol: CMFNL	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 0
Symbol: USWSW	Start Date: 20190103	End Date: 20190115	Number: 8	Valid number: 2
Symbol: TACOW	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 1
Symbol: BRACR	Start Date: 20190107	End Date: 20190116	Number: 8	Valid number: 0
Symbol: MDJH	Start Date: 20190108	End Date: 20190116	Number: 8	Valid number: 6
Symbol: EVGBC	Start Date: 20180524	End Date: 20181226	Number: 8	Valid number: 0
Symbol: ESTRW	Start Date: 20190103	End Date: 20190116	Number: 8	Valid number: 0
Symbol: ALACW	Start Date: 20190107	End Date: 20190116	Number: 8	Valid number: 0
Symbol: FMCIW	Start Date: 20190103	End Date: 20190114	Number: 8	Valid number: 0
Symbol: MTC	Start Date: 20190108	End Date: 20190116	Number: 8	Valid number: 7
Symbol: OPINI	Start Date: 20190102	End Date: 20190116	Number: 9	Valid number: 5
Symbol: FLMNW	Start Date: 20190103	End Date: 20190116	Number: 9	Valid number: 0
Symbol: RHE	Start Date: 20190102	End Date: 20190116	Number: 9	Valid number: 8
Symbol: CATB	Start Date: 20181228	End Date: 20190116	Number: 9	Valid number: 8
Symbol: PHCF	Start Date: 20190102	End Date: 20190116	Number: 9	Valid number: 3
Symbol: NEWTI	Start Date: 20190103	End Date: 20190115	Number: 9	Valid number: 0
Symbol: CLIRW	Start Date: 20190103	End Date: 20190116	Number: 9	Valid number: 0
Symbol: DTYL	Start Date: 20180608	End Date: 20181211	Number: 9	Valid number: 0
Symbol: OXBRW	Start Date: 20190103	End Date: 20190115	Number: 9	Valid number: 0
Symbol: CYRXW	Start Date: 20190103	End Date: 20190115	Number: 9	Valid number: 0
Symbol: HROW	Start Date: 20190102	End Date: 20190116	Number: 9	Valid number: 8
Symbol: PHUN	Start Date: 20181228	End Date: 20190116	Number: 9	Valid number: 3
Symbol: NXTDW	Start Date: 20190104	End Date: 20190116	Number: 9	Valid number: 0
Symbol: PRTHW	Start Date: 20190103	End Date: 20190115	Number: 9	Valid number: 0
Symbol: EGO	Start Date: 20190103	End Date: 20190116	Number: 9	Valid number: 8
Symbol: IPLDP	Start Date: 20190102	End Date: 20190116	Number: 9	Valid number: 0
Symbol: DELL	Start Date: 20190103	End Date: 20190116	Number: 9	Valid number: 8
Symbol: APYX	Start Date: 20190102	End Date: 20190116	Number: 9	Valid number: 8
Symbol: PAVMZ	Start Date: 20190104	End Date: 20190115	Number: 9	Valid number: 0
Symbol: SGLBW	Start Date: 20190104	End Date: 20190116	Number: 9	Valid number: 1
Symbol: APDNW	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 0
Symbol: DSKEW	Start Date: 20190104	End Date: 20190116	Number: 10	Valid number: 0
Symbol: BLNKW	Start Date: 20190103	End Date: 20190115	Number: 10	Valid number: 0
Symbol: CYTXZ	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 0
Symbol: LINDW	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 1
Symbol: MTECW	Start Date: 20190104	End Date: 20190116	Number: 10	Valid number: 0
Symbol: NXEOW	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 0
Symbol: BBCPW	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 2
Symbol: TMCXW	Start Date: 20190103	End Date: 20190115	Number: 10	Valid number: 1
Symbol: RCA	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 0
Symbol: CPTAG	Start Date: 20190103	End Date: 20190115	Number: 10	Valid number: 0
Symbol: FLF	Start Date: 20181226	End Date: 20190116	Number: 10	Valid number: 0
Symbol: BRACW	Start Date: 20190104	End Date: 20190116	Number: 10	Valid number: 2
Symbol: ADILW	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 1
Symbol: IRET	Start Date: 20181228	End Date: 20190116	Number: 10	Valid number: 9
Symbol: PNRL	Start Date: 20181012	End Date: 20190114	Number: 10	Valid number: 0
Symbol: SCA	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 0
Symbol: NDRAW	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 0
Symbol: WRLSR	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 2
Symbol: AFHBL	Start Date: 20190103	End Date: 20190116	Number: 10	Valid number: 0
Symbol: VEACW	Start Date: 20190104	End Date: 20190116	Number: 10	Valid number: 0
Symbol: PETZC	Start Date: 20180620	End Date: 20180905	Number: 11	Valid number: 0
Symbol: ZIONW	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 4
Symbol: DTSS	Start Date: 20181226	End Date: 20190116	Number: 11	Valid number: 0
Symbol: STNLW	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 0
Symbol: DUKB	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 10
Symbol: VKTXW	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 2
Symbol: PACD	Start Date: 20181224	End Date: 20190116	Number: 11	Valid number: 3
Symbol: OFSSL	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 1
Symbol: KTOVW	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 3
Symbol: RBZAW	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 0
Symbol: OTLKW	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 1
Symbol: PHUNW	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 10
Symbol: SNHNL	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 10
Symbol: HCAPZ	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 0
Symbol: KCAPL	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 0
Symbol: AMRWW	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 1
Symbol: EMP	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 9
Symbol: GBLIL	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 2
Symbol: SFB	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 10
Symbol: OSLE	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 1
Symbol: LTSK	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 2
Symbol: EAI	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 10
Symbol: GECCM	Start Date: 20190103	End Date: 20190116	Number: 11	Valid number: 0
